Author
Christoph Benedikt Gote
Laurence Brandenberger
Sophia Johanna Schlosser
Frank Schweitzer
Niklas Stoehr
Benjamin J Radford
Ryan Cotterell
Aaron Schein
Rémi Perrier
Laura Hernandez
Mariano Gastón Beiró
José Ignacio Alvarez-Hamelin
Dimitris Kotzinos
Kayla Duskin
Kristen Engel
Emma Spiro
Victoria Yantseva
Davide Vega
Dylan Paltra
Felix Schmidt
Marius Sältzer
Lena Masch
Mathieu Génois
Vincent Straub
Jason Burton
Michael Geers
Hao Cui
Jia Lin Cheoh
Sabine Brunswicker
Hammaad Adam
Fan Yin
Mary Hu
Neil A. Tenenholtz
Lorin Crawford
Lester Mackey
Amir Ghasemian
Miguel Rivera-Lanas
Manoel Ribeiro
Martin Hilbert
Arti Thakur
Angelita Repetto
Akira Hashimoto
Sho Tsugawa
Keiichiro Tsukamoto
Shintaro Igari
Anne Cathrine Linder
David Lusseau
Diogo Pacheco
Jonas Alexander Havstein Eriksen
Valentina Semenova
Julian Winkler
Nicholas Buttrick
Vedran Sekara
Kyriaki Kalimeri
Spencer Poodiack Parsons
Brennan Klein
Tobias Felix Werner
Nils Christopher Köbis
Zoe Rahwan
Tamer Ajaj
Clara Bersch
Piotr Sapiezynski
Eric Dignum
Quinn Lanners
Harsh Parikh
Cynthia Rudin
Alexander Volfovsky
David Page
Amy Smith
Hope Schroeder
Michael Cook
Simon Colton
Andrew Lippman
Nicolò Pagan
Joachim Baumann
Ezzat Elokda
Giulia De Pasquale
Saverio Bolognani
Anikó Hannák
Jan Engler
Sandipan Sikdar
Marlene Lutz
Maria Sahakyan
Ceren Budak
Natalie J. Stroud
Ashley Muddiman
Caroline C. Murray
Yujin Kim
Yoshi Meke Bird
Sarah Grobe
Dilrukshi Gamage
Kazutoshi Sasahara
Emily L Wang
Luca Luceri
Francesco Pierri
Andrew Beers
Antonio Desiderio
Anna Mancini
Giulio Cimini
Pantelis Pipergias Analytis
Sadamori Kojaku
Robert Mahari
Sandro Lera
Yong-Yeol Ahn
Maciej J. Dańko
Xinyi Zhao
Aditi Dutta
Chico Q Camargo
Susan Banducci
Yurie Iwata
Takahiro Miura
Yingxuan Liu
Paulina Pankowska
Tom Emery
Adrienne Mendrik
Javier Ureña Carrion
Christian L Vestergaard
Márton Karsai
Taro Takaguchi
Eugenio Valdano
Radosław Michalski
Damian Serwata
Mateusz Nurek
Boleslaw K. Szymanski
Przemyslaw Kazienko
Tao Jia
Shahar Somin
Yaniv Altshuler
Erez Shmueli
Samin Aref
Hriday Chheda
Mahdi Mostajabdaveh
Pietro Alessandro Aluffi
Léo Meynent
Clemens Stachl
Thomas Louf
David Sanchez
Jose Javier Ramasco
Tessa Masis
Chloe Eggleston
Lisa Green
Taylor Jones
Meghan Armstrong
Brendan O'Connor
