author,display_name,country_code,first_pub_year,citation_count
Hao Zhang,Hao Zhang,"CN,CA,US",2005,3303
Heiko Rauhut,Heiko Rauhut,"CH,DE,GB",2011,941
Hillel Rapoport,Hillel Rapoport,"FR,LU,DE,IL,US",2006,854
Hong-Yuan Mark Liao,Hong-Yuan Mark Liao,"TW,SI",2000,1446
Hongmei Zeng,Hongmei Zeng,"CN,US,GB",2016,18925
Hugo Barbosa,Hugo Barbosa,"GB,US,PT,BR",2018,1582
Hyejin Youn,Hyejin Youn,"CA,US,GB,RU",2014,386
Iain Murray,Iain M. Johnstone,"US,AU,IL,GB",2009,852
Ivan Savin,Ivan Savin,"RU,ES,DE,FR,US",2021,123
Iyad Rahwan,Iyad Rahwan,"DE,US,IT,GB",2018,2822
J. Ben Schafer,J. Ben Schafer,"US,DE,AU",2007,1958
JM Jan Vleeshouwers,JM Jan Vleeshouwers,,2009,357
Jaap van Heerden,Jaap van Heerden,NL,2003,2997
Jacob Beck,Jacob Beck,"CA,NL,US,LI,DE",1991,352
Jaime A. Moreno,Jaime A. Moreno,"MX,US,DK,ES,CO",2008,2511
Jake M. Hofman,Jake M. Hofman,"US,ES,GB,DE",2011,3877
James H. Fowler,James H. Fowler,"US,AU,DE",2008,1877
James P. Bagrow,James P. Bagrow,US,2011,446
Jan Lorenz,Jan Lorenz,"DE,CH",2011,941
Janette Lehmann,Janette Lehmann,"ES,DE,GB,IT",2012,764
Jari Saramäki,Jari Saramäki,"FI,RU,HU",2007,2132
Jason Brenier,Jason Brenier,"AT,US",2008,628
Jason Kaufman,Jason Kaufman,US,2008,984
Jayson S. Jia,Jayson S. Jia,"HK,CN,US",2020,788
Ja‐Chen Lin,Ja‐Chen Lin,TW,2000,1446
Jean Philippe Dubus,Jean Philippe Dubus,FR,2007,697
Jean-François Pinton,Jean-François Pinton,"FR,US",2010,1570
Jean‐François Bonnefon,Jean‐François Bonnefon,"FR,NZ,US,MA",2018,2822
Jeffrey P. Bigham,Jeffrey P. Bigham,"US,GB,CL,CH,DE,IL",2018,439
Jennifer Pan,Jennifer Pan,"US,IL",2013,2060
Jeroen C.J.M. van den Bergh,Jeroen C.J.M. van den Bergh,"ES,NL,NO,US,DE",2021,123
Jian Xie,Jian Xie,"CN,DE,US",2011,387
Jianmin Jia,Jianmin Jia,"CN,US",2020,788
Jie He,Jie He,"CN,US,HK",2016,18925
Jie Wu,Jie Wu,"US,CA,CN",2000,4932
Jiwei Li,Jiwei Li,"CN,US,CA,SG,IE,FR",2017,789
Jocelyn E. Finlay,Jocelyn E. Finlay,"US,FI,AU",2012,939
Joe Zhu,Joe Zhu,"US,CN,TW,AU,JP",1999,3706
Johanna T. W. Wigman,Johanna T. W. Wigman,"NL,US,IE",2019,823
Johannes Breuer,Judith Breuer,"GB,DE,CA,IN",2019,261
John Lafferty,John Lafferty,US,1999,671
Jolanda J. Kossakowski,Jolanda J. Kossakowski,"NL,US",2022,712
Jon Herlocker,Jon Herlocker,US,2007,1958
Jonas Ebbesson,Jonas Ebbesson,"SE,DK",2010,387
Jonathan D. Cohen,Jonathan D. Cohen,"US,IT,GB,ES",1995,18467
Jonathan Schulz,Jonathan E. Schulz,"US,CH,AU",2018,2822
Jorge M. Pacheco,Jorge M. Pacheco,"PT,CL,AR,US,CO",2005,3949
Joseph DeGutis,Joseph DeGutis,"US,BR",2020,258
Joseph Henrich,Joseph Henrich,"US,CA,GB,NZ,ES,CZ",2018,2822
Joshua Becker,Joshua Becker,"GB,CA,US",2018,560
Joshua D. Greene,Joshua D. Greene,"US,VU,PH,JP,SE",2012,2012
José J. Ramasco,José J. Ramasco,"ES,US,IT,FR",2012,3044
Joël Foramitti,Joël Foramitti,"ES,NL",2021,123
Juana Castro Santa,Juana Castro Santa,"ES,CO",2021,123
Jukka‐Pekka Onnela,Jukka‐Pekka Onnela,"US,BD,IN",2003,2591
Juliette Stehlé,Juliette Stehlé,FR,2010,1570
Julián Candia,Julián Candia,"US,CA,MY",2008,513
Junming Huang,Junming Huang,"US,CN",2020,1478
János Kertész,János Kertész,"AT,IT,SI,IE,IR,HU,FI",2003,2591
Jörkki Hyvönen,Jörkki Hyvönen,FI,2007,1867
Kaoru Tone,Kaoru Tone,"JP,TW,GB,FR,IN,US",2013,802
Katarina Eckerberg,Katarina Eckerberg,"SE,US,GB",2010,387
Kenneth C. Land,Kenneth C. Land,"US,CN,DE,CA",1993,1108
Kevin Lewis,K. W. Lewis,"US,GB",2008,1209
Kevin O’Keeffe,Kevin O’Keeffe,"US,HK",2021,281
Kexin Sun,Kexin Sun,"CN,AU,US",2019,2293
Kimmo Kaski,Kimmo Kaski,"FI,GB,CA,NL,JP,RU",2003,2591
Kjerstin Thorson,Kjerstin Thorson,US,2019,261
Kotaro Hara,Kotaro Hara,"SG,CA,DK,US",2018,439
Kristy Milland,Kristy Milland,CA,2018,439
Laks V. S. Lakshmanan,Laks V. S. Lakshmanan,"CA,SA,IT,AR,CN,CR,IN,US",2010,1008
Laura F. Bringmann,Laura F. Bringmann,"NL,BE,US,DE",2019,823
Laurent Cohen,Laurent Cohen,"FR,US",2005,1798
Lawrence M. Seiford,Lawrence M. Seiford,"US,JP,CA",1999,2266
Lei Dong,Lei Dong,"US,CN,AU",2021,281
Leonid Fridman,Leonid Fridman,"MX,RU,NI,US,AT,FR",2011,472
Li Li,Li Zhu,CN,2022,1670
Licia Capra,Licia Capra,"GB,AU,IT,US",2014,1199
Li‐Fen Chen,Li‐Fen Chen,"TW,CN,US",2000,1446
Lorenzo Isella,Lorenzo Isella,"BE,IT,US,GB",2010,1570
Lourens Waldorp,Lourens Waldorp,"NL,US",2011,2163
Luca Maria Aiello,Luca Maria Aiello,"IT,DK,US,GB,FI",2012,418
Lucas Antiqueira,Lucas Antiqueira,"BR,ES",2011,762
Luciano da Fontoura Costa,Luciano da Fontoura Costa,"BR,PE,CZ,PL,US",2011,762
Luis E. C. Rocha,Luis E. C. Rocha,"BE,GB,SE,BR,IT,PT",2011,762
Lynn Boschloo,Lynn Boschloo,"NL,US",2022,712
Lynn Smith‐Lovin,Lynn Smith‐Lovin,US,1999,764
M. E. J. Newman,M. E. J. Newman,"US,GB",2004,6955
Manlio De Domenico,Manlio De Domenico,"IT,US,DE",2018,415
Marc Barthélemy,Marc Barthélemy,FR,2006,4220
Marcel Salathé,Marcel Salathé,"CH,FR,NL,US,IT",2016,859
Marcello Tomasini,Marcello Tomasini,"US,IT",2018,1582
Marco Gonzalez,Marco González,"CO,VE,ES,US,UY",2008,984
Marco Perugini,Marco Perugini,"IT,SG,BE,GB",2014,786
Margaret E. Roberts,Margaret E. Roberts,"US,DO,GB,CA",2013,2665
Mariano Sigman,Mariano Sigman,"AR,ES,IR,FR",2005,1798
Marieke Wichers,Marieke Wichers,"NL,US,CH,DE,GB",2019,823
Mario Luis Small,Mario Luis Small,"US,DE,GB",2009,1593
Marion Fourcade,Marion Fourcade,"US,DE,FR,MA",2015,576
Marisol Osorio,Marisol Osorio,CO,2008,2039
Mark A. Mintun,Mark A. Mintun,"US,GB,AU,SG",1995,3224
Mark Fitzgerald,Mark Fitzgerald,"AU,IE,BE,DE,GB",1995,3224
Markus Schläpfer,Markus Schläpfer,"US,CH,SG",2021,281
Marta C. González,Marta C. González,"US,GB,CN,ES",2008,909
Marta D. Santos,Marta D. Santos,"BR,PT,US",2008,1306
Martin A. Nowak,Martin A. Nowak,"US,PL,DE",2009,2699
Martin Hilbert,Martin Hilbert,"US,PE,CA,GB,CL",2011,435
Massimo Stella,Massimo Stella,"IT,CA,GB",2018,415
Matheus Palhares Viana,Matheus Palhares Viana,"US,BR,ES",2011,762
Matjaž Perc,Matjaž Perc,"SI,AT,KR,TW,CN,US",2016,859
Matteo Cinelli,Matteo Cinelli,"IT,US,CA",2021,1153
Matthew Botvinick,Matthew Botvinick,"GB,US,IT",2004,3473
Matthew Salganik,Matthew Salganik,"US,DE",2006,1979
Maxime Lenormand,Maxime Lenormand,"FR,ES",2014,1980
Melissa Neuman,Melissa Neuman,"GB,US,ZW",2012,939
Michael Batty,Michael Batty,"GB,PT,US,AU",2014,386
Michael Bošnjak,Michael Bošnjak,"DE,IT,HR,US",2009,973
Michael Inzlicht,Michael Inzlicht,"CA,PL,DE,SE,IR,GB,US",2014,840
Michael Szell,Michael Szell,"DK,IT,AT,US,HU",2010,2101
Michael W. Macy,Michael W. Macy,"US,PH,NL,JP",1994,874
Michele Coscia,Michele Coscia,"DK,US,NL,CA,DE,IT,BE",2014,2190
Michele Starnini,Michele Starnini,"ES,IT,US",2021,1153
Michele Tizzoni,Michele Tizzoni,"IT,US,DK,FR",2012,696
Michelle Gregory,Michelle Gregory,"US,NL",2008,628
Michiel Nuytemans,Michiel Nuytemans,BE,2009,453
Miguel Picornell,Miguel Picornell,"ES,US",2014,398
Mikko Kivelä,Mikko Kivelä,"FI,RU,GB",2010,265
Miklós Sárváry,Miklós Sárváry,"US,FR,SG,MA",2014,266
Ming‐Tat Ko,Ming‐Tat Ko,"TW,SI",2000,1446
Miriam Leenders,Miriam Leenders,US,2011,1239
Mirta Galešić,Mirta Galešić,"AT,US,DE",2009,1560
Mohammad M. Vazifeh,Mohammad M. Vazifeh,US,2021,281
Moisés Frı́as,Moisés Frı́as,"ES,GB,US",2014,398
Moya Bailey,Moya Bailey,"US,MX,CH",2020,417
Muhammed A. Yıldırım,Muhammed A. Yıldırım,"US,TR,DE",2014,2190
Mykola Pechenizkiy,Mykola Pechenizkiy,"NL,US,JP,IR,CH,GB,FI",2009,357
Narendra Ahuja,Narendra Ahuja,"US,SG,CN,CH,TW",2002,3504
Nicholas A. Christakis,Nicholas A. Christakis,"US,GR,CN,HK",2008,3649
Nicola Perra,Nicola Perra,"GB,US,IT,PK,MX",2012,1159
Ning Li,Ning Li,"CN,US,DE",2008,638
Oliva G. Cantú Ros,Oliva G. Cantú Ros,ES,2014,398
Oliver P. John,Oliver P. John,"US,CH,KE,BR,BE",2006,3603
Osvaldo N. Oliveira,Osvaldo N. Oliveira,"BR,PL,GB,CZ,SE",2011,762
Ouri Wolfson,Ouri Wolfson,"US,IL,AT",2014,1199
Owen Wurzbacher,Owen Wurzbacher,US,2014,722
Pamela Oliver,Pamela Oliver,US,1994,874
Paolo Bajardi,Paolo Bajardi,"IT,FR,US",2012,696
Paolo Santi,Paolo Santi,"US,IT,IE",2021,281
Partha Niyogi,Partha Niyogi,"US,PT,RU,IN",2005,3303
Pascal Siegers,Pascal Siegers,DE,2019,261
Paulino Ribeiro Villas-Boas,Paulino Ribeiro Villas-Boas,BR,2011,762
Peter B. Mortensen,Peter B. Mortensen,"DK,CH,US,GB",2009,453
Peter Cowling,Peter Cowling,"GB,PL,ES",2012,2707
Peter D. Baade,Peter D. Baade,"AU,US,NZ",2016,16221
Peter Ferguson,Peter C. Ferguson,"CA,US,NL",2014,386
Peter J. Rentfrow,Peter J. Rentfrow,"GB,PT,AR,US,CH",2003,9092
Peter Sheridan Dodds,Peter Sheridan Dodds,"US,GB",2006,1979
Petter Holme,Petter Holme,"FI,JP,DK,SE,KR,US,BE",2002,1043
Philipp Rohlfshagen,Philipp Rohlfshagen,"FR,GB",2012,2707
Pia Tio,Pia Tio,NL,2022,712
Piero Manfredi,Piero Manfredi,"IT,US,DE",2016,859
Pu Wang,Jianpu Wang,CN,2008,513
Quan Ze Chen,Quan Ze Chen,US,2016,476
Rada Mihalcea,Rada Mihalcea,US,2005,2168
Randolph M. Nesse,Randolph M. Nesse,"US,GR",2015,626
Renaud Lambiotte,Renaud Lambiotte,"SK,GB,CN,AT,BE,IT",2010,1820
Rens Vliegenthart,Rens Vliegenthart,"NL,AT",2006,686
René Mõttus,René Mõttus,"EE,GB,CZ,CA,DE,FR,PH",2014,786
Ricardo Hausmann,Ricardo Hausmann,"US,GB,IT",2014,2190
Ricardo Herranz,Ricardo Herranz,ES,2014,398
Richard E. Tremblay,Richard E. Tremblay,"CA,IE,US,FR,RU",1999,2570
Richard Kim,Richard B. Kim,"CA,US",2018,2822
Riet van Bork,Riet van Bork,"NL,US",2022,712
Rion Snow,Rion Snow,US,2008,1908
Robert A. Schoevers,Robert A. Schoevers,"NL,DK,US",2022,712
Robert W. Krause,Robert W. Krause,"US,DE,SE,NL",2019,823
Roberta Sinatra,Roberta Sinatra,"DK,IT,AT,US,HU",2020,1478
Roberto Navigli,Roberto Navigli,"IT,DK,JP,US,DE",2012,1466
Rocío García‐Retamero,Rocío García‐Retamero,"ES,DE,US,CH,PK",2010,587
Roger Tourangeau,Roger Tourangeau,"US,GB,DE",2008,1106
Rogier Kievit,Rogier Kievit,"NL,GB,US,DE",2011,1723
Ronaldo Menezes,Ronaldo Menezes,"GB,BR,US,CH",2018,1582
Rongshou Zheng,Rongshou Zheng,"CN,GB,IE,US",2016,18925
Rossano Schifanella,Rossano Schifanella,IT,2012,418
Ru Chen,Zhe‐Sheng Chen,"US,CN,HK,JM,CZ",2019,2293
Ruslan Salakhutdinov,Ruslan Salakhutdinov,"US,DZ,CA,IL",2009,852
Ruud Wetzels,Ruud Wetzels,"NL,CA,IE",2011,1994
S. V. Sreenivasan,S. V. Sreenivasan,"US,IN",2011,387
S. V. Subramanian,S. V. Subramanian,"US,CN",2012,939
Sacha Epskamp,Sacha Epskamp,"NL,SG,GB,DE,US",2011,10649
Saiph Savage,Saiph Savage,"MX,US,BG",2018,439
Sam Corbett‐Davies,Sam Corbett‐Davies,"IL,US,NZ",2017,1018
Sameer B. Srivastava,Sameer B. Srivastava,"US,IN,CH",2016,204
Samit Bhattacharyya,Samit Bhattacharyya,"IN,BE,US",2016,859
Samuel Anklesaria,Samuel Anklesaria,US,2021,281
Samuel Arbesman,Samuel Arbesman,US,2015,514
Samuel D. Gosling,Samuel D. Gosling,"US,AU,GB,NL,CH",2003,9092
Santo Fortunato,Santo Fortunato,"US,FI,QA,AU,IT",2009,7983
Sarah J. Jackson,Sarah J. Jackson,"US,MX",2020,417
Sebastian E. Ahnert,Sebastian E. Ahnert,"GB,US",2011,446
Sebastian Stier,Sebastian Stier,"DE,NL",2019,261
Sebastián Bustos,Sebastián Bustos,"CO,US,AR,CL,BO",2014,2190
Shaoming Wang,Shaoming Wang,"CN,TW,MO",2022,1670
Sharad Goel,Sharad Goel,US,2015,1599
Shelley Channon,Shelley Channon,"GB,AU,DE,CA",2008,328
Shilad Sen,Shilad Sen,US,2007,1958
Shuicheng Yan,Shuicheng Yan,"CN,SG",2002,6807
Simon Colton,Simon Colton,"GB,AU,US",2012,2707
Simon M. Lucas,Simon M. Lucas,"GB,FR,CL,US,DE,BR,TW,CA",2012,2707
Simone Paolo Ponzetto,Simone Paolo Ponzetto,"DE,ES,US,CA,JP,IT,CN",2012,1466
Siwei Zhang,Siwei Zhang,"CN,CA,US",2016,18401
Sohan Dsouza,Sohan Dsouza,"IN,US",2018,2822
Sonia Yeh,Sonia Yeh,"SE,US,IE,AU,FR,BE,DE,GB",1999,2113
Spyridon Samothrakis,Spyridon Samothrakis,GB,2012,2707
Stanislas Dehaene,Stanislas Dehaene,"FR,US",2005,1798
Stanley Presser,Stanley Presser,"US,GB,DE",2008,1106
Stefaan Walgrave,Stefaan Walgrave,"BE,US,FR,CH,NL",2009,453
Stefan Drews,Stefan Drews,"ES,DE",2021,123
Stefan Thurner,Stefan Thurner,"AT,US,NL,ZA,HU",2010,1820
Stephen Tavener,Stephen Tavener,GB,2012,2707
Steven D. Forman,Steven D. Forman,US,1995,3224
Sébastien Jean,Jean‐Sébastien Hulot,"FR,IT,AR,US",2017,789
Tamara Lucas,Tamara Lucas,"FR,US",2002,1560
Thomas Louail,Thomas Louail,"FR,ES",2014,1980
Théo Konc,Théo Konc,"ES,DE",2021,123
Tianlin Shi,Tianlin Shi,"CN,US",2017,789
Timon Elmer,Timon Elmer,"CH,NL,GB,DE",2019,823
Timothy Schoenharl,Timothy Schoenharl,US,2008,513
Tingting Zuo,Tingting Zuo,CN,2017,411
Tom Lenaerts,Tom Lenaerts,"BE,US,IN,GB",2006,972
Tomaso Erseghe,Tomaso Erseghe,IT,2014,483
Tore Ellingsen,Tore Ellingsen,"SE,NO,US",2009,687
Trevor Darrell,Trevor Darrell,"US,DE,GB,JP,FR,IL",1997,4238
V. Govind Manian,V. Govind Manian,US,2016,204
Verena D. Schmittmann,Verena D. Schmittmann,NL,2011,665
